@relation R_data_frame-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.instance.Resample-S1-Z100.0-weka.filters.unsupervised.attribute.Center

@attribute xP numeric
@attribute yP numeric
@attribute pacman_direction {North,South,East,West,Stop}
@attribute legal_north {true,false}
@attribute legal_south {true,false}
@attribute legal_east {true,false}
@attribute legal_west {true,false}
@attribute dist_g1 numeric
@attribute dist_g2 numeric
@attribute dist_g3 numeric
@attribute dist_g4 numeric
@attribute position_ghost1_x numeric
@attribute position_ghost1_y numeric
@attribute position_ghost2_x numeric
@attribute position_ghost2_y numeric
@attribute position_ghost3_x numeric
@attribute position_ghost3_y numeric
@attribute position_ghost4_x numeric
@attribute position_ghost4_y numeric
@attribute DIRECTION {North,South,East,West,Stop}

@data
3.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-1.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
-7.986275,8.168627,South,true,true,true,false,6.470588,8.001961,4.658824,7.570588,-4.945098,-2.476471,-4.75098,-2.741176,-4.780392,1.976471,-5.935294,-1.65098,South
1.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-1.341176,-0.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
-1.986275,-2.831373,East,true,true,true,true,-5.529412,-1.998039,-0.341176,4.570588,-4.945098,-4.476471,1.24902,0.258824,1.219608,-4.023529,4.064706,-1.65098,North
3.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-1.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
-5.986275,-0.831373,East,true,true,true,true,-5.529412,-4.998039,-0.341176,-3.429412,-4.945098,-4.476471,-3.75098,-4.741176,-4.780392,1.976471,-5.935294,-1.65098,East
-2.986275,2.168627,South,true,true,false,true,3.470588,-1.998039,-5.341176,-6.429412,5.054902,-0.476471,2.24902,3.258824,-4.780392,-6.023529,-4.935294,-6.65098,South
8.013725,2.168627,West,false,false,true,true,0.470588,1.001961,1.658824,3.570588,11.054902,9.523529,10.24902,9.258824,4.219608,5.976471,3.064706,9.34902,East
-2.986275,2.168627,North,true,true,false,true,4.470588,0.001961,-5.341176,-6.429412,4.054902,-2.476471,3.24902,4.258824,-4.780392,-6.023529,-4.935294,-6.65098,North
-7.986275,-2.831373,South,true,true,true,false,-4.529412,-2.998039,3.658824,0.570588,-4.945098,-2.476471,-4.75098,-2.741176,-4.780392,1.976471,-5.935294,-1.65098,South
1.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-1.341176,-0.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
2.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
